type,ID
Aerial,1
BallRecovery,2
BallTouch,3
BlockedPass,4
Card,5
Challenge,6
ChanceMissed,7
Claim,8
Clearance,9
CornerAwarded,10
CrossNotClaimed,11
Dispossessed,12
End,13
Error,14
FormationChange,15
FormationSet,16
Foul,17
Goal,18
GoodSkill,19
Interception,20
KeeperPickup,21
KeeperSweeper,22
MissedShots,23
OffsideGiven,24
OffsidePass,25
OffsideProvoked,26
Pass,27
PenaltyFaced,28
Punch,29
Save,30
SavedShot,31
ShieldBallOpp,32
ShotOnPost,33
Smother,34
Start,35
SubstitutionOff,36
SubstitutionOn,37
Tackle,38
TakeOn,39
